Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
ГОСТ,,,,,,,>25,>9,,,">0,4",,1к1-2к1,,,,,,,,,,,
Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
Farmina DIGESTION,"N&D беззерновой, ягненок, киноа, фенхель и мята",холистик,"Свежее мясо ягненка, дегидратированные белки ягненок, говядина, яйца, дегидратированные белки птицы (курица, индейка)","куриный жир, семена льна, рыбий жир","гороховый крахмал, киноа","гдюкозамин, хондроитин",33,"21,5","1,9","7,9",1,"0,8","1,25",,"0,08","0,6","3,3",8,"27,7",4075,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina SKIN & COAT HERRING,"N&D беззерновой, сельдь, киноа, кокос и куркума",холистик,"Свежая сельдь, дегидратированный белок сельди, дегидратированные белки птицы (курица, индейка)","рыбий жир, свиной жир","гороховый крахмал, киноа","глюкозамин, хондроитин",30,16,"2,5","7,9",1,"0,8","1,25",,"0,08","2,4","0,8",8,"35,6",3925,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina SKIN & COAT QUAIL,"N&D беззерновой, перепел, киноа, кокос и куркума",холистик,"мясо перепела,  дегидратированный белок перепела, дегидратированные белки птицы (курица, индейка)","рыбий жир,  семена льна, свиной жир","гороховый крахмал, киноа","глюкозамин, хондроитин",30,16,"2,3","6,8",1,"0,8","1,25",,"0,08","1,2",2,8,"36,9",3973,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Florida Turkey & Apple ,с индейкой и яблоком для взрослых кошек с чувствительным пищеварением,премиум,"Дегидрированное мясо индейки,  дегидрированная рыба, гидролизованный белок индейки, яйца","жир индейки,  масло лососевых пород, семя льна","рис, маис",,34,16,3,7,"1,1","0,9","1,222222222",,,,,7,33,3820,"8,9","стандартная, дозировка средняя",-,
SIRIUS,ИНДЕЙКА С ЧЕРНИКОЙ,премиум,"Дегидрированное мясо (индейка 18%, курица 13%), гидролизованные мясные белки, кукурузный глютен","жир куриный, жир лососевый","пшеница,
рис,",,32,15,"2,5","6,5","1,2","0,9","1,333333333",,,,,8,36,3950,,"расширенная, средние",,
AlphaPet,Superpremium С ягненком,супер-премиум,"Свежее мясо 30% (ягненок, свиные печень и сердце, курица), Дегидрированное мясо домашней птицы 19%, Гидролизованная куриная печень","Животный жир, Рыбий жир","Рис 12%, Ячмень, Овес, Желтый горошек",,32,18,"2,6",8,1,"0,7","1,428571429",,"0,08","0,9",3,8,"31,4",3900,,"расширенная, средние",,
1st Choice,Здоровая кожа и шерсть,супер-премиум,"Свежий лосось (18%), мука из сельди менхаден (17%), гороховый протеин, сушеное яйцо, гидролизат куриной печени","куриный жир, цельное семя льна, жир лосося","рис, коричневый рис, специально обработанные ядра ячменя и овса",,30,20,6,9,"1,2",1,"1,2",,"0,1","1,92","9,19",10,25,3639,,"расширенная, дозировки только у основных витаминов",,
1st Choice,Hyppoallergenic,супер-премиум,"свежая утка (17%), рисовый белок, гороховый протеин,  гидролизат куриной печени","растительное масло, цельное семя льна, жир лосося",Сладкий картофель ( батат) (34%),,28,12,"4,5",9,1,"0,8","1,25",,"0,1",,,10,"36,5",3274,,"расширенная, дозировки только у основных витаминов",,
