Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
ГОСТ,,,,,,,>25,>9,,,">0,4",,1к1-2к1,,,,,,,,,,,
Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
Farmina Weight Management,"N&D беззерновой, ягненок, киноа, брокколи и спаржа",холистик,"мясо ягненка, дегидратированные белки жвачных животных (ягненок, говядина), яйца, свежая сельдь, дегидратированный белок сельди","куриный жир, рыбий жир, свиной жир, семена льна","гороховый крахмал, волокна гороха, киноа","глюкозамин, хондроитин",40,9,10,"7,9",1,"0,8","1,25","0,3","0,08","0,45",2,8,"25,1",3341,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Neutered,"N&D беззерновой, утка, киноа, брокколи и спаржа",холистик,"Мясо утки, дегидратированный белок утки,  дегидратированный белок сельди, яйца, дегидратированные белки птицы (курица, индейка)","куриный жир, семена льна, рыбий жир, свиной жир","сладкий картофель, пульпа сахарной свеклы, киноа, волокна гороха","глюкозамин, хондроитин",35,10,"6,5","8,2","1,1","0,9","1,222222222","0,5","0,07","0,4",2,8,"32,3",3500,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Neutered,"N&D беззерновой, курица, гранат",холистик,"Мясо курицы, дегидратированные белки птицы (курица, индейка), яйца,  сельдь, дегидратированная сельдь","куриный жир, рыбий жир, свиной жир","сладкий картофель, волокна гороха","глюкозамин, хондроитин",46,11,"5,1","8,9","1,1","0,9","1,222222222",,"0,08","0,45",2,8,21,3643,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Neutered,"N&D беззерновой, Сельдь и апельсин",холистик,"сельдь, дегидратированная сельдь, ,  яйца, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок, дегидратированный рыбный белок","рыбий жир, свиной жир",сладкий картофель,"глюкозамин, хондроитин",46,11,"5,1","8,9",1,"0,9","1,111111111",,"0,08","0,6","1,8",8,21,3643,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Перепел, тыква и гранат",холистик,"мясо перепела,  дегидратированный белок перепела,  дегидратированный белок перепела, яйца,  свежая сельдь, дегидратированная сельдь, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок","куриный жир, рыбий жир, свиной жир","гороховый крахмал, сушеная тыква","глюкозамин, хондроитин",44,20,"1,8","8,7","1,1","0,9","1,222222222",,"0,09","0,9","3,3",8,"17,5",4197,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Оленина, тыква и яблоко",холистик,"Свежая оленина, дегидратированный белок оленины , яйца, свежая сельдь, дегидратированная сельдь, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок","куриный жир, рыбий жир, свиной жир","гороховый крахмал, сушеная тыква","глюкозамин, хондроитин",42,20,"1,8","8,7","1,1","0,9","1,222222222",,"0,09","0,9","3,4",8,"19,5",4185,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Утка, тыква и мускусная дыня",холистик,"Свежее мясо утки, дегидратированный белок утки, яйца, свежая сельдь, дегидратированная сельдь, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок","куриный жир, рыбий жир, свиной жир","гороховый крахмал, сушеная тыква","глюкозамин, хондроитин",44,20,"1,8","8,7","1,1","0,9","1,222222222",,"0,09","0,9","3,3",8,"17,5",4197,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Neutered,"N&D беззерновой, Перепел, тыква и гранат",холистик,"Мясо ягненка, дегидратированные белки жвачных животных (ягненок, говядина), дегидратированная сельдь, дегидратированные белки птицы (курица, индейка), дегидратированный свиной белок","куриный жир, рыбий жир, свиной жир","батат, сушеная тыква","глюкозамин, хондроитин",46,11,"5,1",8,"1,2",1,"1,2",,"0,09","0,45",2,8,"21,9",3646,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
