Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
ГОСТ,,,,,,,>25,>9,,,">0,4",,1к1-2к1,,,,,,,,,,,
Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
Farmina Kitten,"N&D беззерновой, курица, гранат",холистик,"Мясо курицы, дегидратированные белки птицы (курица, индейка), яйца,  сельдь, дегидратированная сельдь","куриный жир, рыбий жир, свиной жир","сладкий картофель, волокна гороха","глюкозамин, хондроитин",44,20,"1,8","8,5","1,1","0,9","1,222222222",,"0,08","0,9","3,3",8,"17,7",4204,"5,7","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Kitten,"N&D беззерновой, Треска, креветка, тыква и мускусная дыня",холистик,"свежая треска, дегидратированная треска , дегидратированная креветка, дегидратированная сельдь,  дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок, дегидратированный рыбный белок","рыбий жир, свиной жир","сладкий картофель,  сушеная тыква","глюкозамин, хондроитин",44,20,"1,8","8,5",1,"0,9","1,111111111",,"0,08","1,4","3,1",8,"17,7",4204,"5,7","расширенная, дозировка средняя",экстракт токоферолов,
Florida Turkey & Cranberries,с индейкой и клюквой,премиум,"Дегидрированное мясо индейки, гидролизованный белок индейки, яйца","жир индейки, масло лососевых пород, семя льна","рис, маис",,36,16,3,7,"1,3",1,"1,3",,,,,7,31,3830,"5,5","стандартная, средняя",-,
Территория ,Кавказ Индейка с брусникой,супер-премиум,"дегидратированное мясо индейки, свежее мясо индейки, свежие печень и желудок индейки, яйцо ","жир индейки, жир сельди","цельный ячмень, чечевица",,"33,1","21,2",3,7,"1,5","1,2","1,25",,"0,1","2,1","2,8",9,"26,7",4005,5,"стандартная, средняя",экстракт розмарина,
SIRIUS,С МЯСОМ ИНДЕЙКИ,премиум,"Дегидрированное мясо (курица 20%, индейка 14%), гидролизованные мясные белки, кукурузный глютен","жир куриный, жир лососевый","кукуруза,
пшеница,",,34,18,"2,5","7,5","1,4","1,1","1,272727273",,,,,9,29,4010,,"расширенная, средние",,
AlphaPet,Superpremium С цыпленком,супер-премиум,"Свежее мясо 30% (цыпленок, свиные печень и сердце), Дегидрированное мясо птицы 19%, Гидролизованная куриная печень","Животный жир, Рыбий жир","Рис 9%, Ячмень, Овес, Желтый горошек",,35,20,"1,81",8,"1,2","0,8","1,5",,"0,08","0,9",3,8,"27,19",4100,,"расширенная, средние",,
1st Choice,Оптимальный рост,супер-премиум,"Свежая треска (16.8%), мука сельди менхаден (16.7%),  мука из лосося (7.5%), картофельный белок,","растительное масло, льняное семя","горох, чечевица",,36,20,4,9,"1,4","1,1","1,272727273","0,4","0,12",,,,31,3748,,"расширенная, дозировки только у основных витаминов",,
1st Choice,Здоровый старт,супер-премиум,"свежая курица (17%), мука из мяса курицы (17%), гороховый протеин, сушеное яйцо, мука из американской сельди (менхаден), гидролизат куриной печени","куриный жир, цельное семя льна, жир лосося","рис, коричневый рис, специально обработанные ядра ячменя и овса",,30,20,3,8,"1,2","0,96","1,25",,"0,1",,,10,29,3762,,"расширенная, дозировки только у основных витаминов",,
Landor,С индейкой и лососем,супер-премиум,"дегидрированное мясо 38% (курицы 20%, индейки 18%), гидролизованное мясо лосося 4%, протеин гороховый, гидролизованные мясные белки","жир птицы, семена льна, масло лосося 0,8%","рис, ячмень","глюкозамин, хондроитин",34,19,"2,3",8,"1,5-1,7","1 - 1,2","1,5 - 1,7",,,"0,46",3,8,"28,7",4218,,"расширенная, дозировка средняя",розмарин,
Landor,Утка с рисом,супер-премиум,"дегидрированное мясо утки, тунец, гороховый белок","утиный жир, лососевое масло","рис, ячмень, сладкий картофель",,32,18,2,"7,5","1,8","1,4","1,285714286",,,,,10,"30,5",4260,,"стандартная, средняя",розмарин,
Premier,Kitten,супер-премиум,"свежее бескостное мясо индейки (25%), дегидрированное мясо индейки (25%)","жир индейки (10%), льняное семя, лососевое масло (0,5%)","рис, горох","глюкозамин, хондроитин",34,22,"2,5",6,"1,1","0,8","1,375",,"0,08","1,3","3,5",6,"29,5",4179,5,"расширенная, дозировка средняя","грейпфрут, розмарин, куркума",
Будь здоров,с индейкой,супер-премиум,"дегидрированное мясо индейки (12%), свежее мясо индейки без кости 10%, свежее мясо телятины без кости 10%, субпродукты индейки свежие (сердце, желудки, печень) 7%, сублимированное мясо рыбы лососевых и осетровых пород 6%, дегидрированный яичный порошок","жир индейки, лососевое масло, подсолнечное масло",рис бурый цельный,"дегидрированный хрящ рыб осетровых пород(глюкозамин, хондроитин)",36,16,"2,1","6,1","1,7","1,35","1,259259259","0,42",,"3,3","1,2",7,"32,8",4290,,,"экстракт сизигиума, грейптфрут, розмарин, куркума",
Doctrine,с лососем и белой рыбой,супер-премиум,"дегидрированная рыба тресковых пород 30%, гидролизованое мясо лосося 8%, гидролизованная куриная печень",,,,,,,,,,,,,,,,,,,,,
