Бренд/вкус,Линейка,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
ГОСТ,,,,,,,>25,>9,,,">0,4",,1к1-2к1,,,,,,,,,,,
Бренд/направление,Линейка/вкус,класс,Животный белок,Источник жиров,Источник углеводов,доп.компоненты,белки %,жиры %,клетчатка %,зола %,кальций %,фосфор %,коэф-т к/ф,натрий %,магний %,Омега-3,Омега-6,влажность %,углеводы %,калорийность,размер гранул,витаминная добавка,консер-т антиокс-д,примечания
Farmina Adult,"N&D беззерновой, курица, гранат",холистик,"Мясо курицы, дегидратированные белки птицы (курица, индейка), яйца,  сельдь, дегидратированная сельдь","куриный жир, рыбий жир, свиной жир","сладкий картофель, волокна гороха","глюкозамин, хондроитин",44,20,"1,8","8,5","1,1","0,9","1,222222222",,"0,08","0,9","3,3",8,"17,7",4204,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, кабан и яблоко",холистик,"Мясо дикого кабана, дегидратированный белок кабана, мясо курицы,  дегидратированные белки птицы (курица, индейка), яйца, сельдь, дегидратированная сельдь ","куриный жир, рыбий жир, свиной жир","сладкий картофель, волокна гороха","глюкозамин, хондроитин",44,20,"1,8","8,7","1,1","0,9","1,222222222",,"0,08","0,9","3,4",8,"17,5",4197,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, ягненок и черника",холистик,"Мясо ягненка, дегидратированные белки жвачных животных (ягненок, говядина), яйца, сельдь, дегидратированная сельдь, дегидратированные белки птицы (курица, индейка) ","куриный жир, рыбий жир, свиной жир","сладкий картофель, волокна гороха","глюкозамин, хондроитин",42,20,"1,8","8,9","1,2",1,"1,2",,"0,09","0,9","3,4",8,"19,3",4178,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Сельдь и апельсин",холистик,"сельдь, дегидратированная сельдь, яйца, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок, дегидратированный рыбный белок","рыбий жир, свиной жир",сладкий картофель,"глюкозамин, хондроитин",44,20,"1,8","8,5",1,"0,9","1,111111111",,"0,08","1,4","3,1",8,"17,7",4204,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Сельдь и апельсин",холистик,"сельдь, дегидратированная сельдь, ,  яйца, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок, дегидратированный рыбный белок","рыбий жир, свиной жир","гороховый крахмал, сушеная тыква","глюкозамин, хондроитин",44,20,"1,8","8,7",1,"0,9","1,111111111",,"0,08","1,4","3,1",8,"17,5",4197,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D низкозерновой, Треска, спельта, овес и апельсин",холистик,"свежая треска, дегидратированная треска , дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок, дегидратированный рыбный белок","рыбий жир, свиной жир","спельта, овес","глюкозамин, хондроитин",36,20,"1,9",8,1,"0,9","1,111111111",,"0,08","2,5","1,8",8,"26,1",4168,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Перепел, тыква и гранат",холистик,"мясо перепела,  дегидратированный белок перепела,  дегидратированный белок перепела, яйца,  свежая сельдь, дегидратированная сельдь, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок","куриный жир, рыбий жир, свиной жир","гороховый крахмал, сушеная тыква","глюкозамин, хондроитин",44,20,"1,8","8,7","1,1","0,9","1,222222222",,"0,09","0,9","3,3",8,"17,5",4197,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
Farmina Adult,"N&D беззерновой, Оленина, тыква и яблоко",холистик,"Свежая оленина, дегидратированный белок оленины , яйца, свежая сельдь, дегидратированная сельдь, дегидратированные белки птицы (курица, индейка), дегидратированные белки жвачных животных (ягненок, говядина), дегидратированный свиной белок","куриный жир, рыбий жир, свиной жир","гороховый крахмал, сушеная тыква","глюкозамин, хондроитин",42,20,"1,8","8,7","1,1","0,9","1,222222222",,"0,09","0,9","3,4",8,"19,5",4185,"8,1","расширенная, дозировка средняя",экстракт токоферолов,
